Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
Он повернул свое полное, выхоленное тело на пружинах дивана, как бы желая опять заснуть надолго, с другой стороны крепко обнял подушку и прижался к ней щекой; но вдруг вскочил, сел на диван и открыл глаза.	Volvió su cuerpo, lleno y bien cuidado, sobre los flexibles muelles del diván, como si se dispusiera a dormir de nuevo, a la vez que abrazando el almohadón apoyaba en él la mejilla.	He turned his plump, well-kept body over on the springy sofa as if he wished to have another long sleep, and tightly embracing one of the pillows leant his cheek against it; but then suddenly opened his eyes and sat up.	I bambini correvano per la casa abbandonati a loro stessi;	die englische Miß hatte sich mit der Wirtschafterin gezankt und einen Brief an eine Freundin geschrieben, ob sie ihr nicht eine andere Stelle verschaffen könne;
Да, да, как это было?	De repente se incorporó, se sentó sobre el diván y abrió los ojos.	'Let me see what was it?' he thought, trying to recall his dream.	la governante inglese si era bisticciata con la dispensiera e aveva scritto un biglietto ad un’amica chiedendo che le cercasse un posto;	der Koch war schon gestern vor dem Mittagessen davongegangen;
-- думал он, вспоминая сон.	«¿Cómo era», pensó, recordando su sueño.	'What was it?	il cuoco se n’era già andato via il giorno prima durante il pranzo;	die Küchenmagd und der Kutscher baten um ihren Lohn, um den Dienst zu verlassen.
-- Да, как это было?	«	Oh yes – Alabin was giving a dinner-party in Darmstadt – no, not in Darmstadt but somewhere in America.	sguattera e cocchiere avevano chiesto di essere liquidati.	Am dritten Tage nach dem Streite erwachte Fürst Stepan Arkadjewitsch Oblonski (Stiwa, wie er von seinen Bekannten genannt wurde) zur gewohnten Stunde, das heißt um acht Uhr morgens, aber nicht im gemeinsamen Schlafzimmer, sondern in seinem Arbeitszimmer auf dem Ledersofa.
Да!	¡A ver, a ver! Alabin daba una comida en Darmstadt...	Oh yes, Darmstadt was in America, – and Alabin was giving the party.	Tre giorni dopo il litigio, il principe Stepan Arkad’ic Oblonskij — Stiva, com’era chiamato in società — all’ora solita, cioè alle otto del mattino, si svegliò non nella camera della moglie, ma nello studio, sul divano marocchino.	Er wälzte seinen gut genährten und gepflegten Körper auf dem Sofa ein paarmal hin und her, als ob er noch weiterschlafen wolle, umfaßte das Kopfkissen fest von unten her und drückte die Wange dagegen;
Алабин давал обед в Дармштадте; нет, не в Дармштадте, а что-то американское.	Sonaba una música americana...	"The dinner was served on glass tables – yes, and the tables sang ""Il mio tesoro""... no, not exactly ""Il mio tesoro,"" but something better than that; and then there were some kind of little decanters that were really women.'"	Rigirò il corpo pienotto e ben curato sulle molle del divano, come se volesse riaddormentarsi di nuovo a lungo, rivoltò il cuscino, lo abbracciò forte e vi appoggiò la guancia;	plötzlich aber fuhr er in die Höhe, setzte sich auf dem Sofa aufrecht hin und öffnete die Augen.
Да, но там Дармштадт был в Америке.	El caso es que Darmstadt estaba en América...	His eyes sparkled merrily and he smiled as he sat thinking.	ma a un tratto fece un balzo, sedette sul divano e aprì gli occhi.	›Ja, ja, wie war das doch nur?‹ dachte er, indem er sich auf seinen Traum zu besinnen suchte.
Да, Алабин давал обед на стеклянных столах, да, -- и столы пели: Il mio tesoro, и не Il mio tesoro, а что-то лучше, и какие-то маленькие графинчики, и они же женщины, -- вспоминал он.	¡Eso es!	'Yes, it was very nice.	“Già già, com’è andata?	›Ja, wie war das doch nur?
Глаза Степана Аркадьича весело заблестели, и он задумался, улыбаясь.	Alabin daba un banquete, servido en mesas de cristal...	There were many other delightful things which I can't just get hold of – can't catch now I'm awake.'	— pensava riandando al sogno.	Ja!
"""Да, хорошо было, очень хорошо."	"Y las mesas cantaban: ""Il mio tesoro""..: Y si do era eso, era algo más bonito todavía. » Había también unos frascos, que luego resultaron ser mujeres...» Los ojos de Esteban Arkadievich brillaron alegremente al recordar aquel sueño."	Then, noticing a streak of light that had made its way in at the side of the blind, he gaily let down his legs and felt about with his feet for his slippers finished with bronze kid (last year's birthday present, embroidered by his wife); and from nine years' habit he stretched out his arm, without rising, towards where his dressing-gown usually hung in their bedroom.	— Già, com’è andata?	Alabin gab ein Diner in Darmstadt;
"Много еще там было отличного, да не скажешь словами и мыслями даже наяву не выразишь""."	Luego quedó pensativo y sonrió.	And then he suddenly remembered that, and why, he was not sleeping there but in his study.	Ecco... Alabin aveva dato un pranzo a Darmstadt;	nein, nicht in Darmstadt, es war irgendwo in Amerika.
И, заметив полосу света, пробившуюся сбоку одной из суконных стор, он весело скинул ноги с дивана, отыскал ими шитые женой (подарок ко дню рождения в прошлом году), обделанные в золотистый сафьян туфли и по старой, девятилетней привычке, не вставая, потянулся рукой к тому месту, где в спальне у него висел халат.	«¡Qué bien estaba todo!» Había aún muchas otras cosas magníficas que, una vez despierto, no sabía expresar ni con palabras ni con pensamientos.	The smile vanished from his face and he frowned.	no, non Darmstadt, ma qualcosa d’America.	Ja, aber Darmstadt lag dabei in Amerika.
И тут он вспомнил вдруг, как и почему он спит не в спальне жены, а в кабинете; улыбка исчезла с его лица, он сморщил лоб.	Observó que un hilo de luz se filtraba por las rendijas de la persiana, alargó los pies, alcanzó sus zapatillas de tafilete bordado en oro, que su mujer le regalara el año anterior con ocasión de su cumpleaños, y, como desde hacía nueve años tenía por costumbre, extendió la mano hacia el lugar donde, en el dormitorio conyugal, acostumbraba tener colocada la bata.	'Oh dear, dear, dear!' he groaned recalling what had happened.	Già, ma là, Darmstadt era in America.	Ja, Alabin gab ein Diner auf gläsernen Tischen, ja, – und da waren solche kleine Likörflaschen, die sangen: Il mio tesoro1, oder vielmehr nicht Il mio tesoro, sondern ein noch schöneres Lied, und auf einmal waren die Likörflaschen Weiber‹, erinnerte er sich.
Ах, ах, ах!	Sólo entonces se acordó de cómo y por qué se encontraba en su gabinete y no en la alcoba con su mujer; la sonrisa desapareció de su rostro y arrugó el entrecejo.	And the details of his quarrel with his wife, his inextricable position, and, worst of all, his guilt, rose up in his imagination.	Sì, sì, Alabin aveva dato un pranzo su tavoli di vetro, già, e i tavoli cantavano ‘Il mio tesoro’, eh no, non ‘Il mio tesoro’, ma qualcosa di meglio;	Stepan Arkadjewitschs Augen leuchteten fröhlich auf, und lächelnd überließ er sich seinen Gedanken.
Ааа!.. -- замычал он, вспоминая все, что было.	–¡Ay, ay, ay!	'No, she will never forgive me; she can't forgive me!	e c’erano poi certe piccole caraffe, ed anche queste erano donne” ricordava.	›Ja, schön war es, sehr schön.
И его воображению представились опять все подробности ссоры с женою, вся безвыходность его положения и мучительнее всего собственная вина его.	–se lamentó, acordándose de lo que había sucedido.	And the worst thing about it is, that it's all my own fault – my own fault; and yet I'm not guilty!	Gli occhi di Stepan Arkad’ic presero a brillare allegramente ed egli ricominciò a pensare sorridendo:	Es war auch sonst noch viel Vergnügliches dabei;
Да! она не простит и не может простить.	Y de nuevo se presentaron a su imaginación los detalles de la escena terrible; pensó en la violenta situación en que se encontraba y pensó, sobre todo, en su propia culpa, que ahora se le aparecía con claridad. –No, no me perdonará.	That's the tragedy of it!' he thought.	“Eh già, si stava bene, tanto bene.	aber wenn man aufgewacht ist, kann man es sich nicht mehr in Gedanken klarmachen und es nicht mit Worten ausdrücken.‹
И всего ужаснее то, что виной всему я, виной я, а не виноват.	¡Y lo malo es que yo tengo la culpa de todo.	'Oh dear, oh dear!' he muttered despairingly, as he recalled the most painful details of the quarrel.	Ottime cose là;	Und als er einen Lichtstreifen bemerkte, der sich an dem einen Fenster neben dem Stoffvorhang ins Zimmer stahl, hob er in heiterer Stimmung die Beine vom Sofa herunter, suchte mit ihnen nach den goldfarbenen Saffianpantoffeln, die ihm seine Frau gestickt und im vorigen Jahre zum Geburtstage geschenkt hatte, und streckte nach alter, neunjähriger Gewohnheit, ohne aufzustehen, die Hand nach der Stelle aus, wo im Schlafzimmer sein Schlafrock zu hängen pflegte.
В этом-то вся драма, -- думал он.	La culpa es mía, y, sin embargo, no soy culpable.	The worst moment had been when returning home from the theatre merry and satisfied, with an enormous pear in his hand for his wife, he did not find her in the drawing-room nor, to his great surprise, in the study, but at last saw her in her bedroom with the unlucky note which had betrayed him in her hand.	ma prova un po’ a parlarne e a pensarne;	Dabei kam es ihm auf einmal zum Bewußtsein, daß und warum er nicht in dem gemeinsamen Schlafzimmer geschlafen hatte, sondern in seinem Arbeitszimmer;
-- Ах, ах, ах! -- приговаривал он с отчаянием, вспоминая самые тяжелые для себя впечатления из этой ссоры.	Eso es lo terrible del caso!	She sat there: the careworn, ever-bustling, and (as he thought) rather simple Dolly – with the note in her hand and a look of terror, despair, and anger on her face.	da sveglio neanche arrivi a dirle”.	das Lächeln verschwand von seinem Gesichte, und er runzelte die Stirn.
Неприятнее всего была та первая минута, когда он, вернувшись из театра, веселый и довольный, с огромною грушей для жены в руке, не нашел жены в гостиной; к удивлению, не нашел ее и в кабинете и, наконец, увидал ее в спальне с несчастною, открывшею все, запиской в руке.	¡Ay, ay, ay!	'What is this?	E, notata una striscia di luce che filtrava da un lato della cortina di panno, sporse allegramente i piedi fuori dal divano, cercò con essi le pantofole di marocchino dorato ricamategli dalla moglie (dono per l’ultimo suo compleanno), e per vecchia abitudine, ormai di nove anni, senza alzarsi, allungò il braccio verso il posto dove, nella camera matrimoniale, era appesa la vestaglia.	»Ach, o weh, o weh
Она, эта вечно озабоченная, и хлопотливая, и недалекая, какою он считал ее, Долли, неподвижно сидела с запиской в руке и с выражением ужаса, отчаяния и гнева смотрела на него.	–se repitió con desesperación, evocando de nuevo la escena en todos sus detalles.	This?' she asked, pointing to the note.	E in quel momento, a un tratto, ricordò come e perché non dormiva nella camera della moglie, ma nello studio, il sorriso gli sparve dal volto;	!« stöhnte er, da ihm alles Vorgefallene wieder ins Gedächtnis kam.
-- Что это?	Lo peor había sido aquel primer momento, cuando al regreso del teatro, alegre y satisfecho con una manzana en las manos para su mujer, no la había hallado en el salón; asustado, la había buscado en su gabinete, para encontrarla al fin en su dormitorio examinando aquella malhadada carta que lo había descubierto todo.	And, as often happens, it was not so much the memory of the event that tormented him, as of the way he had replied to her.	corrugò la fronte.	Und vor seinem geistigen Blicke erschienen wieder alle Einzelheiten seines Streites mit seiner Frau und die ganze Mißlichkeit seiner Lage und, was ihn am allermeisten quälte, seine eigene Schuld.
это? -- спрашивала она, указывая на записку.	Dolly, aquella Dolly, eternamente ocupada, siempre llena de preocupaciones, tan poco inteligente, según opinaba él, se hallaba sentada con el papel en la mano, mirándole con una expresión de horror, de desesperación y de ira.	At that moment there had happened to him what happens to most people when unexpectedly caught in some shameful act: he had not had time to assume an expression suitable to the position in which he stood toward his wife now that his guilt was discovered.	— Ahi, ahi, ahi!	›Ja, das wird sie nicht verzeihen und kann sie nicht verzeihen.
И при этом воспоминании, как это часто бывает, мучала Степана Аркадьича не столько самое событие, сколько то, как он ответил на эти слова жены.	–¿Qué es esto? ¿Qué me dices de esto?	Instead of taking offence, denying, making excuses, asking forgiveness, or even remaining indifferent (anything would have been better than what he did), he involuntarily ('reflex action of the brain,' thought Oblonsky, who was fond of physiology) smiled his usual kindly and therefore silly smile.	— mugolò, ricordando quanto era accaduto, e gli si presentarono di nuovo alla mente tutti i particolari del litigio, la situazione senza via di uscita e, più tormentosa di tutto, la propria colpa.	Und das Schauderhafteste dabei ist, daß ich selbst an alledem schuld bin;
С ним случилось в эту минуту то, что случается с людьми, когда они неожиданно уличены в чем-нибудь слишком постыдном.	–preguntó, señalando la carta.	He could not forgive himself for that silly smile.	“Già, lei non perdonerà, non può perdonare.	– ich bin an alledem schuld und kann doch eigentlich nichts dafür.
Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины.	Y ahora, al recordarlo, lo que más contrariaba a Esteban Arkadievich en aquel asunto no era el hecho en sí, sino la manera como había contestado entonces a su esposa.	Dolly, seeing it, shuddered as if with physical pain, and with her usual vehemence burst into a torrent of cruel words and rushed from the room.	E quel ch’è peggio è che la colpa di tutto è mia... la colpa è mia, eppure non sono colpevole!	Das ist das Tragische bei der Sache‹, dachte er.
Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным -- все было бы лучше того, что он сделал! --	Le había sucedido lo que a toda persona sorprendida en una situación demasiado vergonzosa: no supo adaptar su aspecto a la situación en que se encontraba.	Since then she had refused to see him.	Proprio in questo sta il dramma” pensava.	»O weh, o weh!« sagte er verzweifelt vor sich hin, in Erinnerung an jene Einzelheiten des Streites, die auf ihn den stärksten Eindruck gemacht hatten.
"его лицо совершенно невольно (""рефлексы головного мозга"", -- подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой."	Así, en vez de ofenderse, negar, disculparse, pedir perdón o incluso permanecer indiferente ––cualquiera de aquellas actitudes habría sido preferible–, hizo una cosa ajena a su voluntad («reflejos cerebrales» , juzgó Esteban Arkadievich, que se interesaba mucho por la fisiología): sonreír, sonreír con su sonrisa habitual, benévola y en aquel caso necia.	'It's all the fault of that stupid smile,' thought Oblonsky.'	“Ahi, ahi, ahi!” ripeteva con disperazione, ricordando le impressioni più penose per lui di quella rottura.	Am unangenehmsten war jener erste Augenblick gewesen, als er, heiter und zufrieden aus dem Theater heimkehrend, seine Frau, für die er eine gewaltig große Birne in der Hand trug, zu seinem Erstaunen weder im Salon noch in ihrem Zimmer vorgefunden und endlich im Schlafzimmer erblickt hatte, in der Hand den unglückseligen Brief, der alles verraten hatte.
Эту глупую улыбку он не мог простить себе.	Aquella necia sonrisa era imperdonable.	But what am I to do? What can I do?' he asked himself in despair, and could find no answer.	Più spiacevole di tutto il primo momento, quando, tornato da teatro, allegro e soddisfatto, con un’enorme pera in mano per la moglie, non l’aveva trovata nel salotto;	Sie, die sonst stets sorglich geschäftige und seiner Ansicht nach etwas beschränkte Dolly, hatte mit dem Briefe in der Hand regungslos dagesessen und den Eintretenden mit einer Miene des Schreckens, der Verzweiflung und des Zornes angeblickt.
Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты.	Al verla, Dolly se había estremecido como bajo el efecto de un dolor físico, y, según su costumbre, anonadó a Stiva bajo un torrente de palabras duras y apenas hubo terminado, huyó a refugiarse en su habitación.	CHAPTER II	con sorpresa non l’aveva trovata neanche nello studio, e infine l’aveva scorta in camera con in mano il malaugurato biglietto che aveva rivelato ogni cosa.	»Was ist das hier?
С тех пор она не хотела видеть мужа.	Desde aquel momento, se había negado a ver a su marido.	OBLONSKY WAS TRUTHFUL WITH HIMSELF.	Lei, quella Dolly eternamente preoccupata e inquieta, e non profonda, come egli la giudicava, sedeva immobile, con il biglietto in mano, e lo guardava con un’espressione di orrore, d’esasperazione e di rabbia.	Was ist das?« hatte sie, auf das Schreiben deutend, ihn gefragt.
Всему виной эта глупая улыбка, -- думал Степан Аркадьич.	«¡Todo por aquella necia sonrisa!», pensaba Esteban Arkadievich.	He was incapable of self-deception and could not persuade himself that he repented of his conduct.	— Cos’è questo biglietto, cos’è?	Als peinlich und beschämend empfand Stepan Arkadjewitsch bei dieser Erinnerung, wie das oft so geht, weniger den Vorfall selbst, als vielmehr die Art, wie er auf diese Worte seiner Frau geantwortet hatte.
Но что же делать?	Y se repetía, desesperado, sin hallar respuesta a su pregunta	He could not feel repentant that he, a handsome amorous man of thirty-four, was not in love with his wife, the mother of five living and two dead children and only a year younger than himself.	— chiedeva mostrando il biglietto.	Es war ihm in diesem Augenblick ergangen, wie es nicht selten Leuten ergeht, die unversehens auf einer recht schmählichen Tat ertappt werden.
что делать? --	: «¿Qué hacer, qué hacer?».	He repented only of not having managed to conceal his conduct from her.	E a quel ricordo, come talvolta accade, ciò che tormentava Stepan Arkad’ic non era tanto il fatto in se stesso, quanto il modo col quale egli aveva risposto alle parole della moglie.	Er hatte es nicht verstanden, seine Miene der Lage anzupassen, in die er seiner Frau gegenüber durch die Aufdeckung seines Vergehens geraten war.
с отчаянием говорил он себе и не находил ответа.	II	Nevertheless he felt his unhappy position and pitied his wife, his children, and himself.	Gli era accaduto in quel momento quello che accade alle persone che vengono inaspettatamente accusate di qualcosa di troppo vergognoso.	Anstatt den Gekränkten zu spielen, zu leugnen, sich zu rechtfertigen, um Verzeihung zu bitten oder auch einfach nur gleichgültig zu bleiben (alles dies wäre besser gewesen als das, was er in Wirklichkeit getan hatte)
II	Esteban Arkadievich era leal consigo mismo.	He might perhaps have been able to hide things from her had he known that the knowledge would so distress her.	Non aveva saputo adattare il viso alla situazione in cui era venuto a trovarsi di fronte alla moglie dopo la scoperta della propria colpa.	, statt dessen hatte sein Gesicht ganz unwillkürlich (›Reflexe des Gehirns‹, dachte Stepan Arkadjewitsch, der sich gern ein bißchen mit Physiologie abgab) sich zu seinem gewohnten gutmütigen und daher in diesem Falle dummen Lächeln verzogen.
Степан Аркадьич был человек правдивый в отношении к себе самому.	No podía, pues, engañarse asegurándose que estaba arrepentido de lo que había hecho.	He had never clearly considered the matter, but had a vague notion that his wife had long suspected him of being unfaithful and winked at it.	Invece di offendersi, negare, giustificarsi, chiedere perdono, rimanere magari indifferente — tutto sarebbe stato meglio di quel che aveva fatto — il suo viso, in modo del tutto involontario (azione riflessa del cervello, pensò Stepan Arkad’ic, che amava la fisiologia), in modo del tutto involontario, aveva improvvisamente sorriso del suo usuale, buono e perciò stupido sorriso.	Dieses dumme Lächeln konnte er sich nicht verzeihen.
Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке.	No, imposible arrepentirse de lo que hiciera un hombre como él, de treinta y cuatro años, apuesto y aficionado a las damas; ni de no estar ya enamorado de su mujer, madre de siete hijos, cinco de los cuales vivían, y que tenía sólo un año menos que él.	He even thought that she, who was nothing but an excellent mother of a family, worn-out, already growing elderly, no longer pretty, and in no way remarkable – in fact, quite an ordinary woman – ought to be lenient to him, if only from a sense of justice.	Questo stupido sorriso non riusciva a perdonarselo.	Beim Anblicke dieses Lächelns war Dolly wie infolge eines körperlichen Schmerzes zusammengezuckt, hatte mit der ihr eigenen Heftigkeit einen Strom scharfer Worte hervorgesprudelt und war aus dem Zimmer geeilt.
Он не мог теперь раскаиваться в том, что он, тридцатичетырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его.	De lo que se arrepentía era de no haber sabido ocultar mejor el caso a su esposa.	It turned out that the very opposite was the case.	Visto quel sorriso, Dolly aveva rabbrividito come per un dolore fisico;	Seitdem hatte sie ihren Mann nicht mehr sehen wollen.
Он раскаивался только в том, что не умел лучше скрыть от жены.	Con todo, comprendía la gravedad de la situación y compadecía a Dolly, a los niños y a sí mismo.	'How awful!	era scoppiata, con l’impeto che le era proprio, in un diluvio di parole dure, ed era corsa via di camera.	›An alledem ist dieses dumme Lächeln schuld‹, dachte Stepan Arkadjewitsch.
Но он чувствовал всю тяжесть своего положения и жалел жену, детей и себя.	Tal vez habría tomado más precauciones para ocultar el hecho mejor si hubiese imaginado que aquello tenía que causar a Dolly tanto efecto.	Oh dear, oh dear, how awful!'	Da quel momento non aveva più voluto vedere il marito.	›Aber was ist zu machen?
Может быть, он сумел бы лучше скрыть свои грехи от жены, если б ожидал, что это известие так на нее подействует.	Aunque no solía pensar seriamente en el caso, venía suponiendo desde tiempo atrás que su esposa sospechaba que no le era fiel, pero quitando importancia al asunto.	Oblonsky kept repeating to himself, and could arrive at no conclusion.	“Tutta colpa di quello stupido sorriso — pensava Stepan Arkad’ic.	Was ist zu machen?‹ fragte er sich in seiner Verzweiflung und fand keine Antwort darauf.
Ясно он никогда не обдумывал этого вопроса, но смутно ему представлялось, что жена давно догадывается, что он не верен ей, и смотрит на это сквозь пальцы.	Creía, además, que una mujer agotada, envejecida, ya nada hermosa, sin atractivo particular alguno, buena madre de familia y nada más, debía ser indulgente con él, hasta por equidad.	'And how well everything was going on till now – how happily we lived!	—	2.
Ему даже казалось, что она, истощенная, состарившаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна.	¡Y he aquí que resultaba todo lo contrario!	She was contented, happy in her children; I never interfered with her but left her to fuss over them and the household as she pleased...	Ma che fare, che fare?	Stepan Arkadjewitsch war sich selbst gegenüber stets aufrichtig und wahrheitsliebend.
Оказалось совсем противное.	«¡Es terrible, terrible! », se repetía Esteban Arkadievich, sin hallar solución.	Of course it's not quite nice that she had been a governess in our house.	” si chiedeva con disperazione, e non trovava risposta	Er war unfähig, sich selbst zu betrügen und sich einzureden, daß er das Getane bereue.
Ах, ужасно!	«	That's bad!	II	Zur Zeit war er nicht imstande, Reue darüber zu empfinden, daß er, ein vierunddreißigjähriger, hübscher, liebeslustiger Mann, nicht mehr in seine Frau verliebt war, die ihm fünf noch lebende und zwei bereits verstorbene Kinder geboren hatte und nur um ein Jahr jünger war als er selbst.
ай, ай, ай! ужасно! -- твердил себе Степан Аркадьич и ничего не мог придумать. --	¡Con lo bien que iba todo, con lo a gusto que vivíamos!	There's something banal, a want of taste, in carrying on with one's governess – but then, what a governess!'	Stepan Arkad’ic era un uomo leale con se stesso.	Das einzige, was er bereute, war, daß er es nicht besser verstanden hatte, seiner Frau die Sache zu verheimlichen.
И как хорошо все это было до этого, как мы хорошо жили!	Ella era feliz rodeada de los niños, yo no la estorbaba en nada, la dejaba en entera libertad para que se ocupase de la casa y de los pequeños.	(He vividly pictured to himself Mlle Roland's roguish black eyes, and her smile.)	Non poteva ingannare se stesso e convincersi d’essere pentito del suo modo di agire.	Aber er empfand in vollem Umfange die Mißlichkeit seiner Lage und bedauerte seine Frau, die Kinder und sich selbst.
Она была довольна, участлива детьми, я не мешал ей ни в чем, предоставлял ей возиться с детьми, с хозяйством, как она хотела.	Claro que no estaba bien que ella fuese precisamente la institutriz de la casa.	'Besides, as long as she was in the house I never took any liberties.	Non poteva, in questo momento, pentirsi di non essere più innamorato — lui, bell’uomo trentaquattrenne, facile all’amore — di sua moglie, di un anno solo più giovane, madre di cinque bambini vivi e di tre morti.	Vielleicht hätte er sich auch erfolgreicher bemüht, seine Sünden vor seiner Frau zu verbergen, wenn er geahnt hätte, daß diese Nachricht auf sie so stark wirken würde.
Правда, нехорошо, что она была гувернанткой у нас в доме.	¡Verdaderamente, hay algo feo, vulgar, en hacer la corte a la institutriz de nuestros propios hijos!...	The worst of the matter is, that she is already...	Era pentito solo di non averlo saputo nascondere più abilmente alla moglie.	Klar nachgedacht hatte er über diesen Punkt allerdings nie:
Нехорошо!	¡Pero, qué institutriz!	Why need it all happen at once?	Ma sentiva tutto il peso di questa situazione e commiserava la moglie, i figli e se stesso.	aber er hatte die undeutliche Vorstellung gehabt, seine Frau ahne schon längst, daß er ihr untreu sei, sehe aber dabei durch die Finger
Есть что-то тривиальное, пошлое в ухаживанье за своею гувернанткой.	(Oblonsky recordó con deleite los negros y ardientes ojos de mademoiselle Roland y su encantadora sonrisa.) ¡Pero mientras estuvo en casa no me tomé libertad alguna!	Oh dear, dear, dear!	Forse avrebbe cercato di nascondere più accortamente le proprie colpe alla moglie, se avesse previsto che questa scoperta avrebbe agito tanto su di lei.	.
