ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.	Primero, intentó mirar hacia abajo y ver a dónde iría a parar, pero estaba todo demasiado oscuro para distinguir nada.	” (quando in seguito ella se ne ricordò, s'accorse che avrebbe dovuto meravigliarsene, ma allora le sembrò una cosa naturalissima):	mas quando o Coelho efetivamente tirou um relógio do bolso do colete e olhou para ele, se apressando, Alice pôs-se de pé porque lhe relampagueou pela cabeça que nunca tivera visto antes um coelho nem com um bolso de colete, nem com um relógio para tirar dele e, ardendo de curiosidade, correu através do campo atrás dele e felizmente chegou bem a tempo de o ver pular para dentro de uma grande toca de coelho debaixo da cerca.	Il n’y avait rien là de bien étonnant, et Alice ne trouva même pas très-extraordinaire d’entendre parler le Lapin qui se disait : « Ah ! j’arriverai trop tard ! »	Ich werde zu spät kommen!«
'Well!' thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs!	Después miró hacia las paredes del pozo y observó que estaban cubiertas de armarios y estantes para libros: aquí y allá vio mapas y cuadros, colgados de clavos.	ma quando il Coniglio trasse un orologio dal taschino della sottoveste e lo consultò, e si mise a scappare, Alice saltò in piedi pensando di non aver mai visto un coniglio con la sottoveste e il taschino, nè con un orologio da cavar fuori, e, ardente di curiosità, traversò il campo correndogli appresso e arrivò appena in tempo per vederlo entrare in una spaziosa conigliera sotto la siepe.	Logo depois Alice desceu atrás dele, em momento algum considerando como faria para sair de novo.	(En y songeant après, il lui sembla bien qu’elle aurait dû s’en étonner, mais sur le moment cela lui avait paru tout naturel	(Als sie es später wieder überlegte, fiel ihr ein, daß sie sich darüber hätte wundern sollen;
How brave they'll all think me at home!	Cogió, a su paso, un jarro de los estantes.	Un istante dopo, Alice scivolava giù correndogli appresso, senza pensare a come avrebbe fatto poi per uscirne.	A toca do coelho era estreita como um túnel no começo e então se inclinava subitamente para baixo, tão subitamente que Alice não teve nem tempo de pensar em parar antes de ver-se caindo em um poço bem profundo.	.	doch zur Zeit kam es ihr Alles ganz natürlich vor.)
Why, I wouldn't say anything about it, even if I fell off the top of the house!'	Llevaba una etiqueta que decía: MERMELADA DE NARANJA, pero vio, con desencanto, que estaba vacío.	La buca della conigliera filava dritta come una galleria, e poi si sprofondava così improvvisamente che Alice non ebbe un solo istante l'idea di fermarsi:	Ou o poço era muito profundo, ou ela caiu muito lentamente, pois teve tempo o bastante enquanto caia para olhar ao seu redor e se perguntar o que aconteceria em seguida.	)	Aber als das Kaninchen seine Uhr aus der Westentasche zog, nach der Zeit sah und eilig fortlief, sprang Alice auf;
(Which was very likely true.)	No le pareció bien tirarlo al fondo, por miedo a matar a alguien que anduviera por abajo, y se las arregló para dejarlo en otro de los estantes mientras seguía descendiendo.	si sentì cader giù rotoloni in una specie di precipizio che rassomigliava a un pozzo profondissimo.	Primeiro, tentou olhar para baixo e descobrir para onde estava indo, mas estava escuro demais para ver qualquer coisa;	Cependant, quand le Lapin vint à tirer une montre de son gousset, la regarda, puis se prit à courir de plus belle, Alice sauta sur ses pieds, frappée de cette idée que jamais elle n’avait vu de lapin avec un gousset et une montre.	denn es war ihr doch noch nie vorgekommen, ein Kaninchen mit einer Westentasche und einer Uhr darin zu sehen.
Down, down, down.	«¡Vaya! », pensó Alicia.	Una delle due:	então, ela olhou para as laterais do poço e percebeu que elas estavam repletas de armários e prateleiras de livros; aqui e ali ela viu mapas e quadros pendurados.	Entraînée par la curiosité elle s’élança sur ses traces à travers le champ, et arriva tout juste à temps pour le voir disparaître dans un large trou au pied d’une haie.	Vor Neugierde brennend, rannte sie ihm nach über den Grasplatz, und kam noch zur rechten Zeit, um es in ein großes Loch unter der Hecke schlüpfen zu sehen.
Would the fall never come to an end!	«	o il pozzo era straordinariamente profondo o ella ruzzolava giù con grande lentezza, perchè ebbe tempo, cadendo, di guardarsi intorno e di pensar meravigliata alle conseguenze.	Ela tirou uma jarra de uma das prateleiras enquanto passava; a jarra estava rotulada como 'GELÉIA DE LARANJA', mas para sua grande decepção, ela estava vazia:	Un instant après, Alice était à la poursuite du Lapin dans le terrier, sans songer comment elle en sortirait.	Den nächsten Augenblick war sie ihm nach in das Loch hineingesprungen, ohne zu bedenken, wie in aller Welt sie wieder herauskommen könnte.
'I wonder how many miles I've fallen by this time?' she said aloud.	¡Después de una caída como ésta, rodar por las escaleras me parecerá algo sin importancia!	Aguzzò gli occhi, e cercò di fissare il fondo, per scoprire qualche cosa;	Ela não quis soltar a jarra por medo de matar alguém, então deu um jeito de colocá-la em um dos armários enquanto passava por um.	Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout à coup il plongeait perpendiculairement d’une façon si brusque qu’Alice se sentit tomber comme dans un puits d’une grande profondeur, avant même d’avoir pensé à se retenir.	Der Eingang zum Kaninchenbau lief erst geradeaus, wie ein Tunnel, und ging dann plötzlich abwärts;
'I must be getting somewhere near the centre of the earth.	¡Qué valiente me encontrarán todos!	ma in fondo era buio pesto e non si scopriva nulla.	'Bem!', pensou Alice consigo mesma.	De deux choses l’une, ou le puits était vraiment bien profond, ou elle tombait bien doucement ;	ehe Alice noch den Gedanken fassen konnte sich schnell festzuhalten, fühlte sie schon, daß sie fiel, wie es schien, in einen tiefen, tiefen Brunnen.
Let me see: that would be four thousand miles down, I think--'	¡Ni siquiera lloraría, aunque me cayera del tejado!» (Y era verdad.)	Guardò le pareti del pozzo e s'accorse che erano rivestite di scaffali di biblioteche;	'Depois de uma queda como essa, eu não devo mais me preocupar em tropeçar das escadas!	car elle eut tout le loisir, dans sa chute, de regarder autour d’elle et de se demander avec étonnement ce qu’elle allait devenir.	Entweder mußte der Brunnen sehr tief sein, oder sie fiel sehr langsam;
(for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a very good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?'	Abajo, abajo, abajo.	e sparse qua e là di mappe e quadri, sospesi a chiodi.	Como todos irão me achar corajosa lá em casa!	D’abord elle regarda dans le fond du trou pour savoir où elle allait ;	denn sie hatte Zeit genug, sich beim Fallen umzusehen und sich zu wundern, was nun wohl geschehen würde.
(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)	¿No acabaría nunca de caer?	Mentre continuava a scivolare, afferrò un barattolo con un'etichetta, lesse l'etichetta:	Bem, eu não diria nada sobre isso, mesmo se caísse do telhado da casa!' (O que era provavelmente verdade.)	mais il y faisait bien trop sombre pour y rien voir.	Zuerst versuchte sie hinunter zu sehen, um zu wissen wohin sie käme, aber es war zu dunkel etwas zu erkennen.
Presently she began again.	--Me gustaría saber cuántas millas he descendido ya --dijo en voz alta--.	“Marmellata d'Arance” ma, oimè!	Caindo, caindo, caindo.	Ensuite elle porta les yeux sur les parois du puits, et s’aperçut qu’elles étaient garnies d’armoires et d’étagères ;	Da besah sie die Wände des Brunnens und bemerkte, daß sie mit Küchenschränken und Bücherbrettern bedeckt waren;
'I wonder if I shall fall right through the earth!	Tengo que estar bastante cerca del centro de la tierra.	con sua gran delusione, era vuoto;	A queda nunca chegaria ao fim?	çà et là, elle vit pendues à des clous des cartes géographiques et des images.	hier und da erblickte sie Landkarten und Bilder, an Haken aufgehängt.
How funny it'll seem to come out among the people that walk with their heads downward!	Veamos: creo que está a cuatro mil millas de profundidad...	non volle lasciar cadere il barattolo per non ammazzare chi si fosse trovato in fondo, e quando arrivò più giù, lo depose su un altro scaffale.	— 'Me pergunto quantas milhas eu caí nesse tempo?	En passant elle prit sur un rayon un pot de confiture portant cette étiquette, « MARMELADE D’ORANGES.	Sie nahm im Vorbeifallen von einem der Bretter ein Töpfchen mit der Aufschrift: »Eingemachte Apfelsinen«, aber zu ihrem großen Verdruß war es leer.
The Antipathies, I think--' (she was rather glad there was no one listening, this time, as it didn't sound at all the right word) '--but I shall have to ask them what the name of the country is, you know.	Como veis, Alicia había aprendido algunas cosas de éstas en las clases de la escuela, y aunque no era un momento muy oportuno para presumir de sus conocimientos, ya que no había nadie allí que pudiera escucharla, le pareció que repetirlo le servía de repaso.	“Bene, — pensava Alice, — dopo una caduta come questa, se mai mi avviene di ruzzolare per le scale, mi sembrerà meno che nulla;	' falou em voz alta.	»	Sie wollte es nicht fallen lassen, aus Furcht Jemand unter sich zu töten;
Please, Ma'am, is this New Zealand or Australia?' (and she tried to curtsey as she spoke--fancy curtseying as you're falling through the air!	--Sí, está debe de ser la distancia... pero me pregunto a qué latitud o longitud habré llegado.	a casa poi come mi crederanno coraggiosa!	— 'Eu devo estar chegando a algum lugar perto do centro da Terra.	Mais, à son grand regret, le pot était vide : elle n’osait le laisser tomber dans la crainte de tuer quelqu’un ;	und es gelang ihr, es in einen andern Schrank, an dem sie vorbeikam, zu schieben.
Do you think you could manage it?)	Alicia no tenía la menor idea de lo que era la latitud, ni tampoco la longitud, pero le pareció bien decir unas palabras tan bonitas e impresionantes.	Anche a cader dal tetto non mi farebbe nessun effetto!” (E probabilmente diceva la verità).	Deixe-me ver: isso seria quatro mil milhas para baixo, eu acho--'	aussi s’arrangea-t-elle de manière à le déposer en passant dans une des armoires.	»Nun!« dachte Alice bei sich, »nach einem solchen Fall werde ich mir nichts daraus machen, wenn ich die Treppe hinunter stolpere.
'And what an ignorant little girl she'll think me for asking!	Enseguida volvió a empezar.	E giù, e giù, e giù!	(pois, veja você, Alice aprendera várias coisas desse tipo nas lições da escola e, mesmo que essa não fosse uma oportunidade muito boa para demonstrar seu conhecimento — já que não tinha ninguém lá para escutá-la, ainda assim, era bom repetir para praticar) '-- Sim, essa é aproximadamente a distância certa -- mas então eu me pergunto, em qual Latitude ou Longitude eu cheguei?	« Certes, » dit Alice	Wie mutig sie mich zu Haus finden werden!
No, it'll never do to ask: perhaps I shall see it written up somewhere.'	--¡A lo mejor caigo a través de toda la tierra!	Non finiva mai quella caduta?	' (Alice não tinha idéia do que era Latitude ou Longitude, mas achou que essas eram boas palavras grandes para se falar.)	,	Ich würde nicht viel Redens machen, wenn ich selbst von der Dachspitze hinunter fiele!«
Down, down, down.	¡Qué divertido sería salir donde vive esta gente que anda cabeza abajo!	— Chi sa quante miglia ho fatte a quest'ora?	Logo ela começou de novo.	«	(Was sehr wahrscheinlich war.)
There was nothing else to do, so Alice soon began talking again.	Los antipáticos, creo...	— esclamò Alice.	— 'Imagino se cairei através da Terra!	après une chute pareille je ne me moquerai pas mal de dégringoler l’escalier !	Hinunter, hinunter, hinunter!
'Dinah'll miss me very much to-night, I should think!'	(Ahora Alicia se alegró de que no hubiera nadie escuchando, porque esta palabra no le sonaba del todo bien.) Pero entonces tendré que preguntarles el nombre del país.	— Forse sto per toccare il centro della terra.	Como vai parecer engraçado sair no meio de pessoas que andam de cabeça para baixo!	Comme ils vont me trouver brave chez nous !	Wollte denn der Fall nie endigen ?
(Dinah was the cat.)	Por favor, señora, ¿estamos en Nueva Zelanda o en Australia?	Già saranno più di quattrocento miglia di profondità.	Os Antipáticos, eu acho--' (ela ficou mais contente por não haver ninguém escutando, dessa vez, pois essa não parecia mesmo a palavra correta) '-- mas eu deverei perguntar a eles qual é o nome do país, sabe.	Je tomberais du haut des toits que je ne ferais pas entendre une plainte.	»Wie viele Meilen ich wohl jetzt gefallen bin
'I hope they'll remember her saucer of milk at tea-time.	Y mientras decía estas palabras, ensayó una reverencia.	— (Alice aveva apprese molte cose di questa specie a scuola, ma quello non era il momento propizio per sfoggiare la sua erudizione, perchè nessuno l'ascoltava;	Por favor, senhora, essa é a Nova Zelândia ou a Austrália?	»	!« sagte sie laut.
Dinah my dear!	¡Reverencias mientras caía por el aire!	ma ad ogni modo non era inutile riandarle mentalmente.	' (E ela tentou reverenciar enquanto falava -- reverência pomposa a medida que está caindo pelo ar!	(Ce qui était bien probable.	»Ich muß ungefähr am Mittelpunkt der Erde sein.
I wish you were down here with me!	¿Creéis que esto es posible?	)	Você acha que conseguiria?)	)	Laß sehen: das wären achthundert und fünfzig Meilen, glaube ich -«
There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.	--¡Y qué criaja tan ignorante voy a parecerle!	— Sì, sarà questa la vera distanza, o press'a poco,... ma vorrei sapere a qual grado di latitudine o di longitudine sono arrivata.	'E que garota pequena e ignorante ela vai me achar por perguntar!	Tombe, tombe, tombe !	(denn ihr müßt wissen, Alice hatte dergleichen in der Schule gelernt, und obgleich dies keine sehr gute Gelegenheit war, ihre Kenntnisse zu zeigen, da Niemand zum Zuhören da war, so übte sie es sich doch dabei ein) » – ja, das ist ungefähr die Entfernung;
But do cats eat bats, I wonder?'	No, mejor será no preguntar nada.	(Alice veramente, non sapeva che fosse la latitudine o la longitudine, ma le piaceva molto pronunziare quelle parole altisonanti!) Passò qualche minuto e poi ricominciò:	Não, não vai dar para perguntar:	« Cette chute n’en finira donc pas !	aber zu welchem Länge und Breitegrade ich wohl gekommen sein mag?«
And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'Do cats eat bats? Do cats eat bats?' and sometimes, 'Do bats eat cats?'	Ya lo veré escrito en alguna parte.	— Forse traverso la terra!	talvez eu veja escrito em algum lugar.	Je suis curieuse de savoir combien de milles j’ai déjà faits, » dit-elle tout haut.	(Alice hatte nicht den geringsten Begriff, was weder Längengrad noch Breitegrad war;
for, you see, as she couldn't answer either question, it didn't much matter which way she put it.	Abajo, abajo, abajo.	E se dovessi uscire fra quelli che camminano a capo in giù!	'	« Je dois être bien près du centre de la terre.	doch klangen ihr die Worte großartig und nett zu sagen.
She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, 'Now, Dinah, tell me the truth: did you ever eat a bat?' when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.	No había otra cosa que hacer y Alicia empezó enseguida a hablar otra vez.	Credo che si chiamino gli Antitodi.	Caindo, caindo, caindo.	Voyons donc, cela serait à quatre mille milles de profondeur, il me semble.	Bald fing sie wieder an.
Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.	--¡Temo que Dina me echará mucho de menos esta noche !	— Fu lieta che in quel momento non la sentisse nessuno, perchè quella parola non le sonava bene... —	Não havia mais nada para fazer, então Alice logo começou a falar de novo.	»	»Ob ich wohl ganz durch die Erde fallen werde!
There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, 'Oh my ears and whiskers, how late it's getting!'	(Dina era la gata.)	Domanderei subito come si chiama il loro paese... Per piacere, signore, è questa la Nova Zelanda?	— 'Diná vai sentir muito a minha falta esta noite, eu acho!' (Diná era sua gata).	(Comme vous voyez, Alice avait appris pas mal de choses dans ses leçons ;	Wie komisch das sein wird, bei den Leuten heraus zu kommen, die auf dem Kopfe gehen!
She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.	Espero que se acuerden de su platito de leche a la hora del té.	o l'Australia?	'Eu espero que eles se lembrem do pires de leite dela na hora do chá.	et bien que ce ne fût pas là une très-bonne occasion de faire parade de son savoir, vu qu’il n’y avait point d’auditeur, cependant c’était un bon exercice que de répéter sa leçon	die Antipathien, glaube ich.«
There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.	¡Dina, guapa, me gustaría tenerte conmigo aquí abajo!	— e cercò di fare un inchino mentre parlava (figurarsi, fare un inchino, mentre si casca giù a rotta di collo!	Diná, minha querida!	.	(Diesmal war es ihr ganz lieb, daß Niemand zuhörte, denn das Wort klang ihr gar nicht recht.)
Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them.	En el aire no hay ratones, claro, pero podrías cazar algún murciélago, y se parecen mucho a los ratones, sabes.	Dite, potreste voi fare un inchino?).	Eu queria que você estivesse aqui embaixo comigo!	)	»
However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!	Pero me pregunto: ¿comerán murciélagos los gatos?	— Ma se farò una domanda simile mi prenderanno per una sciocca.	Não há ratos no ar, eu acho, mas você poderia pegar um morcego que é muito parecido com um rato, sabe.	« Oui, c’est bien à peu près cela ;	Aber natürlich werde ich sie fragen müssen, wie das Land heißt.
Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.	Al llegar a este punto, Alicia empezó a sentirse medio dormida y siguió diciéndose como en sueños: «¿Comen murciélagos los gatos? ¿Comen murciélagos los gatos?» Y a veces: «¿Comen gatos los murciélagos?» Porque, como no sabía contestar a ninguna de las dos preguntas, no importaba mucho cual de las dos se formulara	No, non la farò:	Mas será que gatos comem morcegos?	mais alors à quel degré de latitude ou de longitude est-ce que je me trouve ? »	Bitte, liebe Dame, ist dies Neuseeland oder Australien?«
How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head though the doorway; 'and even if my head would go through,' thought poor Alice, 'it would be of very little use without my shoulders.	.	forse troverò il nome scritto in qualche parte.	' — E aqui Alice começou a ficar um tanto sonolenta e continuou falando para si mesma, de um modo distraído, — 'Gatos comem morcegos?	(Alice n’avait pas la moindre idée de ce que voulait dire latitude ou longitude, mais ces grands mots lui paraissaient beaux et sonores	(Und sie versuchte dabei zu knicksen, denkt doch, knicksen, wenn man durch die Luft fällt!
Oh, how I wish I could shut up like a telescope!	Se estaba durmiendo de veras y empezaba a soñar que paseaba con Dina de la mano y que le preguntaba con mucha ansiedad: «Ahora Dina, dime la verdad, ¿te has comido alguna vez un murciélago?», cuando de pronto, ¡cataplum!, fue a dar sobre un montón de ramas y hojas secas.	E sempre giù, e sempre giù, e sempre giù!	Gatos comem morcegos?	.	Könntet ihr das fertig kriegen?) »
I think I could, if I only know how to begin.'	La caída había terminado.	Non avendo nulla da fare, Alice ricominciò a parlare:	' e algumas vezes, —'Morcegos comem gatos?	)	Aber sie werden mich für ein unwissendes kleines Mädchen halten, wenn ich frage !
For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.	Alicia no sufrió el menor daño, y se levantó de un salto.	— Stanotte Dina mi cercherà.	', pois, veja, como ela não poderia responder nenhuma das questões, não importava muito o modo como as colocava.	Bientôt elle reprit : « Si j’allais traverser complétement la terre ?	Nein, es geht nicht an zu fragen;
There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words 'DRINK ME' beautifully printed on it in large letters.	Miró hacia arriba, pero todo estaba oscuro.	(Dina era la gatta).	Ela sentiu que estava cochilando e começou a sonhar que estava andando de mãos dadas com Diná, falando para ela muito seriamente, — 'Agora, Diná, diga-me a verdade:	Comme ça serait drôle de se trouver au milieu de gens qui marchent la tête en bas.	vielleicht sehe ich es irgendwo angeschrieben.«
It was all very well to say 'Drink me,' but the wise little Alice was not going to do that in a hurry.	Ante ella se abría otro largo pasadizo, y alcanzó a ver en él al Conejo Blanco, que se alejaba a toda prisa.	Spero che penseranno a darle il latte quando sarà l'ora del tè.	você já comeu um morcego?	Aux Antipathies, je crois.	Hinunter, hinunter, hinunter! Sie konnte nichts weiter tun, also fing Alice bald wieder zu sprechen an.
'No, I'll look first,' she said, 'and see whether it's marked 'poison' or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they would not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger very deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later.	No había momento que perder, y Alicia, sin vacilar, echó a correr como el viento, y llego justo a tiempo para oírle decir, mientras doblaba un recodo: -- ¡Válganme mis orejas y bigotes, qué tarde se me está haciendo!	Cara la mia Dina!	', quando subitamente, puf!	»	»Dinah wird mich gewiß heut Abend recht suchen!«
However, this bottle was not marked 'poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.	Iba casi pisándole los talones, pero, cuando dobló a su vez el recodo, no vio al Conejo por ninguna parte.	Vorrei che tu fossi qui con me!	puf!, ela acertou uma pilha de gravetos e folhas secas e a queda havia acabado.	(Elle n’était pas fâchée cette fois qu’il n’y eût personne là pour l’entendre, car ce mot ne lui faisait pas l’effet d’être bien juste.	(Dinah war die Katze.) »
'What a curious feeling!' said Alice; 'I must be shutting up like a telescope.'	Se encontró en un vestíbulo amplio y bajo, iluminado por una hilera de lámparas que colgaban del techo.	In aria non vi son topi, ma ti potresti beccare un pipistrello:	Alice não estava nem um pouco machucada e ficou de pé num instante: ela olhou para cima, mas estava tudo muito escuro; à frente dela havia outro corredor longo e o Coelho Branco ainda podia ser visto, correndo por ele.	)	Ich hoffe, sie werden ihren Napf Milch zur Teestunde nicht vergessen.
